"ID_auto","car_brand","car_model","car_price","car_weight","ID_origin","car_production","ID_kont","current_orders","production_cost","ID_city"
1,opel,astra,100000,1300.00,1,5600,1,3920.00,60000.00,1
2,opel,vectra,165000,1500.00,1,4600,1,2990.00,99000.00,2
3,kia,ceed,135000,1250.00,5,9000,3,8550.00,60750.00,3
4,renault,megane,120000,1200.00,2,7000,1,4200.00,72000.00,4
5,renault,clio,95000,1100.00,2,5500,1,4400.00,57000.00,4
6,bmw,"4",175000,1500.00,1,4200,1,3780.00,61250.00,5
7,bmw,"6",205000,1700.00,1,3600,1,2880.00,71750.00,6
8,hyundai,i30,125000,1400.00,5,11000,3,11000.00,56250.00,3
9,hyundai,i40,150000,1600.00,5,9000,3,8100.00,67500.00,3
10,opel,adam,100000,1000.00,1,7500,1,6750.00,60000.00,2
11,opel,zafira,170000,1800.00,1,6900,1,6900.00,102000.00,1
12,fiat,bravo,130000,1350.00,4,12000,1,9600.00,84500.00,7
13,opel,omega,155000,1700.00,1,8400,1,5040.00,93000.00,1
14,renault,RS,195000,1250.50,2,2500,1,2500.00,117000.00,8
15,bmw,"3",171000,1420.00,1,6500,1,5850.00,59850.00,5
16,hyundai,elantra,100000,1350.65,5,16000,3,13600.00,45000.00,9
17,kia,xceed,150000,1400.00,5,9100,3,7280.00,67500.00,3
18,kia,venga,103000,1360.00,5,7500,3,4500.00,46350.00,9
19,kia,stonic,117000,1440.00,5,9200,3,7360.00,52650.00,3
20,audi,a4,225000,1530.00,1,10500,1,7350.00,101250.00,10
21,audi,A3,175000,1390.50,1,8700,1,7830.00,78750.00,10
22,audi,A8,275000,2100.40,1,7100,1,3550.00,123750.00,10
23,hyundai,i10,60000,1020.35,5,9700,3,6790.00,27000.00,3
24,ford,mustang,125000,1600.00,7,4900,2,4900.00,68750.00,11
25,honda,jazz,110000,1200.00,6,7000,3,5950.00,49500.00,12
26,honda,CR-V,170000,1700.00,6,6500,3,5200.00,76500.00,13
27,honda,civic,130000,1380.00,6,15500,3,13950.00,58500.00,12
28,ford,puma,134000,1260.00,7,8900,2,7120.00,73700.00,11
29,ford,focus,147000,1370.00,3,14900,1,13410.00,80850.00,14
30,honda,HR-V,144000,1530.00,6,8100,3,8100.00,64800.00,13
31,pontiac,gto,204000,1790.00,7,2200,2,2200.00,122400.00,15
32,dodge,demon,275000,1850.00,7,1200,2,1200.00,165000.00,15
33,acura,rsx,255000,1450.00,8,1850,4,1850.00,102000.00,16
34,range,discovery,335000,2100.00,8,5500,4,3850.00,201000.00,17
35,dodge,ram,215000,2300.00,8,7900,4,6320.00,129000.00,17
36,opel,corsa,100000,1150.00,1,12000,1,9000.00,60000.00,2
37,opel,crossland,214000,2050.00,1,3500,1,2800.00,128400.00,1
38,opel,mocca,100000,1550.00,1,8200,1,5740.00,60000.00,2
39,kia,optima,265000,1700.00,5,1700,3,1530.00,119250.00,3
40,kia,picanto,70000,1050.00,5,6500,3,5200.00,31500.00,9
41,kia,EV6,204000,1600.00,5,11000,3,8250.00,91800.00,9
42,fiat,tipo,120000,1450.00,4,14500,1,8700.00,78000.00,7
43,fiat,panda,58500,980.00,4,9900,1,6930.00,38025.00,7
44,renault,captur,130000,1320.00,2,16900,1,16900.00,78000.00,4
45,acura,ssx,404000,1475.00,8,700,4,665.00,161600.00,16
46,acura,lightning,625000,1525.00,8,500,4,500.00,250000.00,18
47,acura,rapido,164000,1510.00,8,15500,4,12400.00,65600.00,18
48,ford,mondeo,190000,1560.00,3,11900,1,8330.00,104500.00,14
49,ford,skyful,304000,1490.00,3,999,1,999.00,167200.00,14
50,bmw,X5,254000,1680.00,1,7100,1,5325.00,88900.00,6
51,bmw,X7,315000,1890.00,7,9000,2,8100.00,110250.00,11
52,fiat,"600",154000,1180.00,4,10900,1,8720.00,100100.00,7
53,audi,Q7,365000,1910.00,7,11500,2,9200.00,164250.00,11
54,hyundai,Santa Fe,279000,1920.00,5,8100,3,7700.00,125550.00,9
55,fiat,croma,199000,1510.00,4,5000,1,3800.00,129350.00,7
56,toyota,camry,230000,1640.00,7,11000,2,10700.00,115000.00,19
57,toyota,RAV4,260000,1620.00,7,10000,2,9850.00,130000.00,19
58,bmw,Z4,350000,1160.00,7,4100,2,3600.00,122500.00,11
59,toyota,supra,399000,1310.00,8,8900,4,8870.00,199500.00,18
60,toyota,corolla,135000,1440.00,6,22000,3,18500.00,67500.00,12
61,toyota,aygo,79000,1100.00,3,15000,1,12300.00,39500.00,14
